Hours,Price (â‚¬),Volume (MWh)
00h-01h,105.44,19983.9
01h-02h,104.71,18421.0
02h-03h,104.31,17148.2
03h-04h,104.71,16655.3
04h-05h,104.98,16457.0
05h-06h,105.22,16523.6
06h-07h,106.2,17352.0
07h-08h,110.1,18406.8
08h-09h,106.01,19715.5
09h-10h,102.88,21147.0
10h-11h,84.0,22410.1
11h-12h,75.99,23518.1
12h-13h,75.29,24038.4
13h-14h,75.01,24472.6
14h-15h,72.8,24654.0
15h-16h,71.97,24673.9
16h-17h,71.2,24509.6
17h-18h,72.8,23891.9
18h-19h,76.0,22761.3
19h-20h,95.0,22128.8
20h-21h,107.26,21666.1
21h-22h,122.23,21180.9
22h-23h,113.97,20779.3
23h-24h,109.44,19027.8
